Zone Name,Document,Mentions,Pages
moesic,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,33,"8, 20, 22, 26, 27, 29, 30, 138, 158, 159"
moldoveneasc,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,10,"138, 140, 142, 144, 145, 158, 161, 321, 329"
flisului,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,6,"17, 33, 34, 35, 46, 288"
neogen,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,6,"23, 32, 33, 46, 58, 329"
de apex,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,6,"100, 104, 135, 166, 269"
moldovenease,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,5,"8, 155, 315, 318, 321"
central,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,5,"108, 129, 164, 246, 285"
continental,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,4,"7, 157, 167, 313"
moldoveneascl,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,3,"10, 30, 323"
moesicl,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,3,"25, 167, 314"
moesie,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,3,"175, 321, 323"
seitied,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"11, 316"
moesiel,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"11, 320"
scitied,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"22, 316"
moldove,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"27, 29"
seitie,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"29, 320"
flisului paleogen,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"60, 322"
Oligocenul,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"62, 82"
cea mai ridicat,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"111, 180"
Cercetarea,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"111, 310"
axial,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"132, 135"
moldoveneasci,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"143, 321"
seitic,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"158, 318"
moesicd,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"313, 326"
citied,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"313, 316"
moldoveneascd,Paraschiv 1975 Geologie titei _ gaz STE_Seria_A_vol_10.pdf,2,"316, 326"
estică,Paraschiv_Platforma Moesica si Sacamintele ei de Hidrocarburi_1979.pdf,3,"12, 88, 160"
faciesului pelagic,Paraschiv_Platforma Moesica si Sacamintele ei de Hidrocarburi_1979.pdf,3,"78, 163"
faciesului,Paraschiv_Platforma Moesica si Sacamintele ei de Hidrocarburi_1979.pdf,2,"47, 163"
Cercetarea,Paraschiv_Platforma Moesica si Sacamintele ei de Hidrocarburi_1979.pdf,2,"109, 142"
